FBgn0000008	Q9W283
FBgn0000658	P54360
FBgn0000659	P14734
FBgn0000662	Q9Y091
FBgn0000667	P18091
FBgn0000709	Q24020
FBgn0000711	P48462
FBgn0000715	P10552
FBgn0000719	P40795
FBgn0000721	Q03043
FBgn0000723	P18106
FBgn0000808	O62589
FBgn0000810	P13468
FBgn0000826	O46308
FBgn0000927	P25028
FBgn0000928	Q9W4W2
FBgn0000964	M9PG80
FBgn0000996	Q7JVY2
FBgn0001075	P33450
FBgn0001077	P02835
FBgn0001078	P33244
FBgn0001079	P23647
FBgn0001083	Q9VYR4
FBgn0001084	O16868
FBgn0001085	P18537
FBgn0001086	Q24044
FBgn0001087	P54362
FBgn0001089	Q9VMJ5
FBgn0001090	P29746
FBgn0001091	P07486
FBgn0001092	P07487
FBgn0001098	P54385
FBgn0001099	P22468
FBgn0001104	P20353
FBgn0001105	P26308
FBgn0001108	P13496
FBgn0001112	P18173
FBgn0001114	P33438
FBgn0001120	Q9VUI0
FBgn0001122	P16378
FBgn0001123	P20354
FBgn0001124	A1ZAA5
FBgn0001125	Q8IPY3
FBgn0001128	P13706
FBgn0001133	Q9U405
FBgn0001134	Q24352
FBgn0001137	P42287
FBgn0001138	P91623
FBgn0001139	P16371
FBgn0001142	P20477
FBgn0001145	P20478
FBgn0001147	P09083
FBgn0001148	P09082
FBgn0001149	P20432
FBgn0001150	P39572
FBgn0001168	P14003
FBgn0001169	Q02308
FBgn0001170	P10035
FBgn0001174	B7YZU6
FBgn0001179	Q02870
FBgn0001180	P05084
FBgn0001185	Q9VJJ6
FBgn0001186	Q9W330
FBgn0001187	Q7JYW9
FBgn0001189	Q9W568
FBgn0001197	P08985
FBgn0001202	Q24185
FBgn0001206	Q86CW5
FBgn0001208	P17276
FBgn0001215	P07909
FBgn0001216	P29843
FBgn0001217	P11146
FBgn0001218	P29844
FBgn0001220	P29845
FBgn0001222	P22813
FBgn0001223	P02515
FBgn0001224	P02516
FBgn0001225	P02517
FBgn0001227	P05812
FBgn0001228	P22978
FBgn0001229	P22979
FBgn0001230	O97125
FBgn0001233	P02828
FBgn0001235	O46339
FBgn0001247	P22817
FBgn0001248	B7Z0E0
FBgn0001250	P12080
FBgn0001253	Q7KUB3
FBgn0001254	P29681
FBgn0001255	Q9VHW8
FBgn0001256	Q7KUJ4
FBgn0001257	Q09024
FBgn0001258	Q95028
FBgn0001259	Q9VPH0
FBgn0001263	Q24008
FBgn0001269	P05527
FBgn0001276	Q7KBL8
FBgn0001280	P20348
FBgn0001281	P20349
FBgn0001285	Q7JX43
FBgn0001291	P18289
FBgn0001296	C8VV48
FBgn0001297	P21525
FBgn0001301	Q04652
FBgn0001308	P17210
FBgn0001311	Q8IPN4
FBgn0001316	Q9Y0E4
FBgn0001319	P56721
FBgn0001320	P10734
FBgn0001321	Q9VH23
FBgn0001323	P13054
FBgn0001324	Q9VW47
FBgn0001325	P07247
FBgn0001330	O46072
FBgn0001341	Q9W5E4
FBgn0001404	O01346
FBgn0001491	O97454
FBgn0001565	Q9VRI0
FBgn0001612	Q9XYP8
FBgn0001624	P31007
FBgn0001941	Q94515
FBgn0001942	Q02748
FBgn0001961	O97182
FBgn0001965	P26675
FBgn0001967	Q9VJU2
FBgn0001970	Q8MVS5
FBgn0001977	Q9V3Y2
FBgn0001978	P40798
FBgn0001983	Q9VJP2
FBgn0001986	Q9Y134
FBgn0001987	Q7KT70
FBgn0001989	Q9V3W2
FBgn0001990	Q9VJN5
FBgn0001991	Q24270
FBgn0001992	Q9V399
FBgn0001994	Q9V406
FBgn0001995	Q9V3D0
FBgn0002021	Q9VJ10
FBgn0002022	Q9V3A4
FBgn0002023	M9PD53
FBgn0002031	P24156
FBgn0002036	P18487
FBgn0002044	Q9VIV2
FBgn0002069	Q7K0E6
FBgn0002121	P08111
FBgn0002174	Q27237
FBgn0002183	Q8IRG6
FBgn0002283	Q9VV77
FBgn0002284	P40304
FBgn0002306	Q04164
FBgn0002354	Q9VG00
FBgn0002413	O76324
FBgn0002431	P51592
FBgn0002440	P52302
FBgn0002441	Q9VB52
FBgn0002466	M9PI41
FBgn0002521	Q8ST83
FBgn0002522	P10105
FBgn0002524	Q9V3F2
FBgn0002525	P08928
FBgn0002526	Q00174
FBgn0002531	P02839
FBgn0002533	P07187
FBgn0002534	P07188
FBgn0002535	P07189
FBgn0002542	P34739
FBgn0002543	M9PC46
FBgn0002552	Q9V4Z9
FBgn0002561	P09774
FBgn0002562	P11995
FBgn0002563	P11996
FBgn0002564	P11997
FBgn0002565	Q24388
FBgn0002566	Q7PL76
FBgn0002567	A1Z7S3
FBgn0002569	P07191
FBgn0002570	P07190
FBgn0002571	P07192
FBgn0002573	Q9N658
FBgn0002576	Q9W349
FBgn0002577	Q9VYU8
FBgn0002578	O97176
FBgn0002579	P49630
FBgn0002590	Q24186
FBgn0002592	O97177
FBgn0002593	P08570
FBgn0002609	Q01068
FBgn0002622	Q06559
FBgn0002626	P04359
FBgn0002629	P13095
FBgn0002631	P13096
FBgn0002632	O97179
FBgn0002633	P13097
FBgn0002638	P25171
FBgn0002641	Q9VRA2
FBgn0002643	P21519
FBgn0002645	P23226
FBgn0002673	Q03019
FBgn0002707	Q24087
FBgn0002709	Q0KHR4
FBgn0002715	Q24141
FBgn0002716	Q7KPA5
FBgn0002719	Q9VG31
FBgn0002723	Q9VYW2
FBgn0002732	O97178
FBgn0002733	Q01069
FBgn0002734	Q01071
FBgn0002735	Q01070
FBgn0002736	P49028
FBgn0002772	P06742
FBgn0002773	P18432
FBgn0002774	P24785
FBgn0002775	P50536
FBgn0002778	Q9Y1A7
FBgn0002780	P13469
FBgn0002781	Q86B87
FBgn0002783	Q9VF03
FBgn0002787	P26270
FBgn0002789	P14318
FBgn0002791	Q9W1E5
FBgn0002838	Q9VBA8
FBgn0002842	Q9VP40
FBgn0002855	P10333
FBgn0002856	P10334
FBgn0002862	P08175
FBgn0002863	P16548
FBgn0002865	Q9VAW8
FBgn0002868	P04357
FBgn0002869	P11956
FBgn0002872	Q95RC8
FBgn0002873	Q8IR55
FBgn0002878	Q9VY97
FBgn0002887	Q4U2Q5
FBgn0002891	Q9GSR1
FBgn0002899	Q9VSE2
FBgn0002901	Q9VVN4
FBgn0002905	O18475
FBgn0002906	Q9VGI8
FBgn0002909	Q9VS48
FBgn0002914	P04197
FBgn0002917	A8JUW5
FBgn0002921	P13607
FBgn0002922	P22816
FBgn0002924	P20480
FBgn0002926	P98159
FBgn0002930	Q7JWX3
FBgn0002931	Q9VPI8
FBgn0002932	P29503
FBgn0002933	P23938
FBgn0002936	P15425
FBgn0002937	Q9VFS2
FBgn0002938	P10676
FBgn0002939	Q8INY3
FBgn0002940	P06002
FBgn0002941	P22807
FBgn0002945	Q9VVV9
FBgn0002948	P18105
FBgn0002962	P25724
FBgn0002973	P16554
FBgn0002985	P23803
FBgn0002989	O76460
FBgn0003002	P39768
FBgn0003008	Q9W1E8
FBgn0003009	Q24434
FBgn0003011	Q9VDU9
FBgn0003015	P25158
FBgn0003016	Q27421
FBgn0003023	P10383
FBgn0003028	P51521
FBgn0003034	P05623
FBgn0003041	Q8IQ97
FBgn0003042	P26017
FBgn0003044	Q24459
FBgn0003046	P14484
FBgn0003048	P18490
FBgn0003053	Q9W4J1
FBgn0003057	Q9VX65
FBgn0003060	Q9VFU0
FBgn0003062	Q9W1V3
FBgn0003065	Q9V9U0
FBgn0003067	P20007
FBgn0003068	P07663
FBgn0003071	P52034
FBgn0003074	P52029
FBgn0003076	Q9VUY9
FBgn0003079	P11346
FBgn0003082	Q7JY97
FBgn0003086	P26023
FBgn0003087	Q24454
FBgn0003089	Q86BJ3
FBgn0003090	A1Z6W3
FBgn0003091	P05130
FBgn0003093	P13678
FBgn0003114	P42570
FBgn0003116	O18399
FBgn0003117	P52168
FBgn0003118	P51023
FBgn0003124	P52304
FBgn0003129	P23757
FBgn0003130	P23758
FBgn0003132	Q05547
FBgn0003134	P48461
FBgn0003137	Q868Z9
FBgn0003139	Q27884
FBgn0003140	P11612
FBgn0003141	P48611
FBgn0003145	P06601
FBgn0003149	P35415
FBgn0003159	X2JI50
FBgn0003162	P48596
FBgn0003165	P25822
FBgn0003169	Q24468
FBgn0003174	A1Z6W9
FBgn0003175	Q9W244
FBgn0003187	Q23989
FBgn0003189	P05990
FBgn0003204	Q07152
FBgn0003205	P08646
FBgn0003206	P04388
FBgn0003209	Q9VLI4
FBgn0003210	Q9W4K1
FBgn0003218	P43125
FBgn0003227	Q9VF30
FBgn0003231	P14199
FBgn0003248	P08099
FBgn0003249	P04950
FBgn0003250	P08255
FBgn0003254	A0A0B4KFC4
FBgn0003255	Q7KTA0
FBgn0003256	P40417
FBgn0003257	Q01637
FBgn0003261	P19109
FBgn0003267	P10181
FBgn0003268	Q9V9W7
FBgn0003270	Q9Y0A7
FBgn0003274	P05389
FBgn0003275	Q24320
FBgn0003277	P04052
FBgn0003278	P20028
FBgn0003279	P09180
FBgn0003285	Q08180
FBgn0003292	Q9VTK2
FBgn0003295	Q9W0F8
FBgn0003300	P22814
FBgn0003301	P32870
FBgn0003302	P50445
FBgn0003308	P10351
FBgn0003310	P42519
FBgn0003312	Q9VGH1
FBgn0003313	P21750
FBgn0003317	A0A0B4K7J3
FBgn0003319	Q05319
FBgn0003321	Q9U1H9
FBgn0003326	P21520
FBgn0003330	Q9VB08
FBgn0003334	Q9VHA0
FBgn0003339	P09077
FBgn0003345	P30052
FBgn0003346	Q9VIW3
FBgn0003353	Q7JPB9
FBgn0003356	C0HKF8
FBgn0003357	C0HKF8
FBgn0003358	P17207
FBgn0003360	Q26365
FBgn0003366	P13368
FBgn0003371	P18431
FBgn0003372	Q9VR49
FBgn0003373	P02840
FBgn0003374	Q00725
FBgn0003375	P07701
FBgn0003377	P02841
FBgn0003378	P02842
FBgn0003380	P08510
FBgn0003382	B7YZF2
FBgn0003386	P17972
FBgn0003388	Q9VUF8
FBgn0003390	Q9W3W5
FBgn0003391	Q24298
FBgn0003392	P27619
FBgn0003396	A1Z8F4
FBgn0003401	Q9W1I9
FBgn0003410	P21461
FBgn0003411	Q9VZ09
FBgn0003415	Q7KTX8
FBgn0003416	Q9VXH3
FBgn0003423	Q04499
FBgn0003429	Q03720
FBgn0003430	P32030
FBgn0003435	A0A0B4K7I2
FBgn0003444	P91682
FBgn0003447	Q24524
FBgn0003448	P08044
FBgn0003449	P43332
FBgn0003450	P05049
FBgn0003459	Q9VUE5
FBgn0003460	Q27350
FBgn0003462	P61851
FBgn0003463	Q24025
FBgn0003464	P27398
FBgn0003475	Q9U1K1
FBgn0003479	Q27297
FBgn0003480	O77135
FBgn0003482	Q8SZ30
FBgn0003483	Q9VF26
FBgn0003486	Q9VRM7
FBgn0003495	P48607
FBgn0003499	A0A0B4KGW2
FBgn0003502	P08630
FBgn0003507	P52172
FBgn0003510	P07666
FBgn0003511	P07665
FBgn0003512	P07664
FBgn0003513	E1JIM6
FBgn0003514	P40423
FBgn0003515	P45843
FBgn0003517	P38979
FBgn0003520	P25159
FBgn0003525	P20483
FBgn0003527	P92189
FBgn0003545	Q9V877
FBgn0003557	Q9Y0H4
FBgn0003559	P25991
FBgn0003567	P08970
FBgn0003575	P22293
FBgn0003598	P20193
FBgn0003607	P05205
FBgn0003612	A1Z7P5
FBgn0003638	P12297
FBgn0003651	P16376
FBgn0003654	Q24246
FBgn0003655	P40688
FBgn0003656	Q9U969
FBgn0003660	P18489
FBgn0003676	P12613
FBgn0003683	P11455
FBgn0003687	P20227
FBgn0003701	P42286
FBgn0003710	P48613
FBgn0003714	P10735
FBgn0003716	Q9VMT1
FBgn0003719	P25723
FBgn0003720	P18102
FBgn0003721	P49455
FBgn0003731	P04412
FBgn0003733	P18475
FBgn0003741	P11596
FBgn0003742	P19018
FBgn0003744	Q9NBK5
FBgn0003747	Q9W497
FBgn0003748	Q9W2M2
FBgn0003751	Q24155
FBgn0003861	P19334
FBgn0003862	P20659
FBgn0003863	P04814
FBgn0003865	P54356
FBgn0003866	P22265
FBgn0003867	P40689
FBgn0003870	P42282
FBgn0003882	P22812
FBgn0003884	P06603
FBgn0003885	P06605
FBgn0003886	P06604
FBgn0003889	P61857
FBgn0003890	Q8MST5
FBgn0003891	P25823
FBgn0003892	P18502
FBgn0003896	Q9VJ37
FBgn0003900	P10627
FBgn0003941	P18101
FBgn0003942	P15357
FBgn0003943	P0CG69
FBgn0003944	P83949
FBgn0003950	Q9VRF2
FBgn0003961	P16163
FBgn0003963	Q9VPQ6
FBgn0003964	P20153
FBgn0003965	P20351
FBgn0003969	Q8IR23
FBgn0003975	A0ACD4DAQ9
FBgn0003977	Q9W1R5
FBgn0003978	Q9VIP8
FBgn0003979	P11449
FBgn0003980	P13238
FBgn0003983	Q06521
FBgn0003984	Q94918
FBgn0003996	P10090
FBgn0003997	Q24106
FBgn0004003	O44342
FBgn0004034	P09957
FBgn0004045	P02843
FBgn0004047	P06607
FBgn0004049	Q9VFU8
FBgn0004050	P09956
FBgn0004052	P22469
FBgn0004053	P09089
FBgn0004054	P09090
FBgn0004055	P10379
FBgn0004057	P12646
FBgn0004066	P22769
FBgn0004087	P17719
FBgn0004101	Q24535
FBgn0004102	P22810
FBgn0004103	P12982
FBgn0004106	P23572
FBgn0004107	P23573
FBgn0004108	P23654
FBgn0004110	P22711
FBgn0004117	P09491
FBgn0004118	P25162
FBgn0004132	Q8T9B6
FBgn0004133	A1Z714
FBgn0004143	P32845
FBgn0004167	A8JNJ6
FBgn0004168	P28285
FBgn0004169	P19351
FBgn0004170	P10084
FBgn0004171	Q24404
FBgn0004172	Q01642
FBgn0004173	Q01643
FBgn0004174	Q01644
FBgn0004175	Q01645
FBgn0004177	P23696
FBgn0004179	Q03751
FBgn0004181	Q9U6L5
FBgn0004197	P18168
FBgn0004198	P10180
FBgn0004227	Q04047
FBgn0004228	P23487
FBgn0004237	P48810
FBgn0004240	P24492
FBgn0004242	P21521
FBgn0004244	P25123
FBgn0004359	Q9VBA5
FBgn0004360	P28465
FBgn0004362	Q05783
FBgn0004363	Q94920
FBgn0004367	Q9VXG8
FBgn0004368	Q9W4F5
FBgn0004369	P35832
FBgn0004370	P35992
FBgn0004372	Q9VZW3
FBgn0004373	A0A4D6K881
FBgn0004374	Q9VIP4
FBgn0004378	P46863
FBgn0004379	Q9VSW5
FBgn0004380	Q9VRK9
FBgn0004381	P46867
FBgn0004387	Q9VB25
FBgn0004389	P40794
FBgn0004390	P48423
FBgn0004391	Q9VXV3
FBgn0004394	Q9VK71
FBgn0004395	Q86B79
FBgn0004396	P29747
FBgn0004397	O46037
FBgn0004400	Q7JXA8
FBgn0004401	P41073
FBgn0004403	C0HKA0
FBgn0004404	C0HKA1
FBgn0004406	Q27607
FBgn0004407	Q9VJV8
FBgn0004414	P23488
FBgn0004419	P23128
FBgn0004425	Q08694
FBgn0004427	P83972
FBgn0004428	P37159
FBgn0004429	P29615
FBgn0004430	P37160
FBgn0004431	P37161
FBgn0004432	P25007
FBgn0004435	P23625
FBgn0004436	P25153
FBgn0004449	O61307
FBgn0004456	Q24247
FBgn0004463	P25167
FBgn0004465	Q9V420
FBgn0004507	Q9XTL9
FBgn0004509	P26016
FBgn0004510	Q04688
FBgn0004511	Q9VYU7
FBgn0004512	Q00449
FBgn0004513	Q00748
FBgn0004514	P22270
FBgn0004516	P20228
FBgn0004552	P61855
FBgn0004554	P27781
FBgn0004556	P26802
FBgn0004567	P32031
FBgn0004569	Q00805
FBgn0004573	P20905
FBgn0004574	Q07327
FBgn0004575	Q24546
FBgn0004577	Q01603
FBgn0004580	P41044
FBgn0004581	Q9W1I2
FBgn0004583	Q07436
FBgn0004584	P27864
FBgn0004587	P26686
FBgn0004588	Q9VUS3
FBgn0004589	Q27364
FBgn0004590	Q9VUS6
FBgn0004591	Q27241
FBgn0004592	Q9VUS8
FBgn0004593	Q9VUS9
FBgn0004594	Q9VUT0
FBgn0004595	P29617
FBgn0004597	P25008
FBgn0004598	P30432
FBgn0004606	P28166
FBgn0004607	P28167
FBgn0004611	P25455
FBgn0004618	P13360
FBgn0004619	Q03445
FBgn0004620	Q9VMP4
FBgn0004622	P30975
FBgn0004623	P29829
FBgn0004629	P23779
FBgn0004635	P20350
FBgn0004636	P08645
FBgn0004638	Q08012
FBgn0004643	Q9W4X9
FBgn0004644	Q02936
FBgn0004646	P27716
FBgn0004647	P07207
FBgn0004648	P42787
FBgn0004649	P98163
FBgn0004650	O76904
FBgn0004652	Q8IN81
FBgn0004654	P41572
FBgn0004655	Q9W517
FBgn0004656	P13709
FBgn0004657	P11584
FBgn0004666	P05709
FBgn0004687	P54357
FBgn0004698	Q24595
FBgn0004777	O97064
FBgn0004778	O97063
FBgn0004779	O97062
FBgn0004780	O97061
FBgn0004781	O97060
FBgn0004782	O97059
FBgn0004783	Q9V3L8
FBgn0004784	P13677
FBgn0004795	Q24573
FBgn0004797	Q960U8
FBgn0004811	Q9VIR9
FBgn0004828	C0HL67
FBgn0004832	P28518
FBgn0004837	P28159
FBgn0004838	P48809
FBgn0004839	Q6AWJ9
FBgn0004841	P30974
FBgn0004842	P25931
FBgn0004852	Q9VW60
FBgn0004854	Q24256
FBgn0004855	P36958
FBgn0004856	P39736
FBgn0004858	Q9VJS8
FBgn0004859	P19538
FBgn0004860	Q9W523
FBgn0004861	P39769
FBgn0004862	P22809
FBgn0004863	Q7KS72
FBgn0004864	Q24592
FBgn0004865	P45447
FBgn0004867	P31009
FBgn0004868	Q9VLB7
FBgn0004870	Q9W0K7
FBgn0004872	Q9VKM1
FBgn0004875	Q8MSX1
FBgn0004876	Q9VE06
FBgn0004878	Q7M3M8
FBgn0004880	Q9VZK2
FBgn0004882	Q9VCN7
FBgn0004885	Q9VC47
FBgn0004888	Q94522
FBgn0004889	P36872
FBgn0004892	Q9VQS7
FBgn0004893	Q9VQU9
FBgn0004895	Q02360
FBgn0004896	Q02361
FBgn0004897	P32028
FBgn0004898	P32029
FBgn0004901	Q27601
FBgn0004903	Q02926
FBgn0004907	P29310
FBgn0004908	Q06849
FBgn0004910	P48593
FBgn0004913	P35600
FBgn0004914	P49866
FBgn0004915	P29052
FBgn0004919	Q06003
FBgn0004921	P38040
FBgn0004924	P30189
FBgn0004926	P41375
FBgn0004956	Q9VWW4
FBgn0004957	Q9VWV9
FBgn0004959	Q9VWR5
FBgn0005198	Q9VW83
FBgn0005278	P40320
FBgn0005322	Q9VL02
FBgn0005355	Q9VG38
FBgn0005386	Q9VW15
FBgn0005390	Q9W451
FBgn0005391	P02844
FBgn0005411	Q24562
FBgn0005427	Q24312
FBgn0005533	P17704
FBgn0005536	M9NEB2
FBgn0005558	O18381
FBgn0005561	O16117
FBgn0005564	P17971
FBgn0005585	P29413
FBgn0005586	P25228
FBgn0005590	P54631
FBgn0005593	P32100
FBgn0005596	P25992
FBgn0005612	P40656
FBgn0005613	P40657
FBgn0005614	P48994
FBgn0005616	P50534
FBgn0005617	P50535
FBgn0005619	Q05733
FBgn0005624	P35820
FBgn0005626	P18459
FBgn0005631	Q9W213
FBgn0005632	P55824
FBgn0005633	P35554
FBgn0005636	A0A0B4KEZ2
FBgn0005638	Q02637
FBgn0005640	M9PE01
FBgn0005642	P15619
FBgn0005648	Q7KNF2
FBgn0005649	Q8IMX4
FBgn0005654	Q7K2L1
FBgn0005655	P17917
FBgn0005658	P29774
FBgn0005659	P29775
FBgn0005660	P29776
FBgn0005664	Q9VKE2
FBgn0005666	D1YSG0
FBgn0005670	P33269
FBgn0005671	P31409
FBgn0005672	Q01083
FBgn0005674	P28668
FBgn0005677	Q8IP19
FBgn0005683	Q9VKW2
FBgn0005694	P39413
FBgn0005695	Q01820
FBgn0005696	Q9VB62
FBgn0005771	Q24423
FBgn0005775	Q01819
FBgn0005777	Q9VH81
FBgn0005778	Q9W2A5
FBgn0005779	Q9VQL9
FBgn0008635	P45437
FBgn0008636	Q9W2P8
FBgn0008646	Q9VFQ3
FBgn0008651	A0A0B4KH37
FBgn0010014	P48451
FBgn0010015	P48456
FBgn0010019	Q9V3S0
FBgn0010038	Q9VG98
FBgn0010039	Q9VG97
FBgn0010040	Q9VG96
FBgn0010041	Q9VG95
FBgn0010042	Q9VG94
FBgn0010043	Q9VG93
FBgn0010044	Q9VG92
FBgn0010051	P29993
FBgn0010052	A1ZA98
FBgn0010053	Q7JRC3
FBgn0010078	P48159
FBgn0010097	P42271
FBgn0010100	Q9VIE8
FBgn0010105	Q24139
FBgn0010109	Q26263
FBgn0010113	Q9N2M8
FBgn0010114	Q09101
FBgn0010173	Q24492
FBgn0010194	P28466
FBgn0010197	Q07553
FBgn0010198	P48149
FBgn0010213	Q00637
FBgn0010215	P35220
FBgn0010217	Q05825
FBgn0010220	Q07886
FBgn0010222	Q04448
FBgn0010223	Q05337
FBgn0010225	Q07171
FBgn0010226	P41043
FBgn0010228	Q06943
FBgn0010235	P46824
FBgn0010238	Q24372
FBgn0010240	Q08832
FBgn0010241	Q5BI62
FBgn0010246	Q23979
FBgn0010247	P35875
FBgn0010258	Q9VFT3
FBgn0010263	M9PBZ2
FBgn0010265	Q03334
FBgn0010269	Q24324
FBgn0010278	Q05344
FBgn0010280	P47825
FBgn0010282	Q05913
FBgn0010287	Q27896
FBgn0010288	P35122
FBgn0010292	P51406
FBgn0010294	P40139
FBgn0010295	P40140
FBgn0010296	P40141
FBgn0010300	Q8MQJ9
FBgn0010303	Q23977
FBgn0010309	Q24118
FBgn0010313	P41046
FBgn0010314	Q24152
FBgn0010315	Q7KUZ5
FBgn0010316	Q7JNL9
FBgn0010317	Q9VZP3
FBgn0010323	P54366
FBgn0010328	A8JRE3
FBgn0010329	Q86B61
FBgn0010333	P40792
FBgn0010339	P32234
FBgn0010340	P81928
FBgn0010341	P40793
FBgn0010342	Q7K180
FBgn0010348	P61209
FBgn0010350	P56079
FBgn0010352	A8JNU6
FBgn0010355	P51123
FBgn0010356	P49846
FBgn0010357	P35004
FBgn0010358	C0HKA2
FBgn0010359	C0HKA3
FBgn0010379	Q8INB9
FBgn0010380	Q24253
FBgn0010382	P54733
FBgn0010383	Q95078
FBgn0010385	P36192
FBgn0010387	P42281
FBgn0010388	P36193
FBgn0010389	Q07407
FBgn0010391	Q9U5L1
FBgn0010395	Q27591
FBgn0010397	Q03427
FBgn0010398	Q9VKU0
FBgn0010399	Q24418
FBgn0010401	Q23971
FBgn0010403	Q23970
FBgn0010406	Q9VSC3
FBgn0010407	Q24488
FBgn0010408	P55935
FBgn0010409	P41093
FBgn0010411	P41094
